Unnamed: 0,spotId,raster,x,y,z,class,Date,roi,tissue_id,L.Lactic.acid_.M.Hm0,L.Lactic.acid_.M.Hm1,L.Lactic.acid_.M.Hm2,L.Lactic.acid_.M.Hm3,L.Malic.acid_.M.Hm0,L.Malic.acid_.M.Hm1,L.Malic.acid_.M.Hm2,L.Malic.acid_.M.Hm3,L.Malic.acid_.M.Hm4,L.Glutamine_.M.Hm0,L.Glutamine_.M.Hm1,L.Glutamine_.M.Hm2,L.Glutamine_.M.Hm3,L.Glutamine_.M.Hm4,L.Glutamine_.M.Hm5,L.Glutamic.acid_.M.Hm0,L.Glutamic.acid_.M.Hm1,L.Glutamic.acid_.M.Hm2,L.Glutamic.acid_.M.Hm3,L.Glutamic.acid_.M.Hm4,L.Glutamic.acid_.M.Hm5,Citric.acid_.M.Hm0,Citric.acid_.M.Hm1,Citric.acid_.M.Hm2,Citric.acid_.M.Hm3,Citric.acid_.M.Hm4,Citric.acid_.M.Hm5,Citric.acid_.M.Hm6,D.Glucose_.M.Clm0,D.Glucose_.M.Clm1,D.Glucose_.M.Clm2,D.Glucose_.M.Clm3,D.Glucose_.M.Clm4,D.Glucose_.M.Clm5,D.Glucose_.M.Clm6,Glutathione_.M.Hm0,Glutathione_.M.Hm1,Glutathione_.M.Hm2,Glutathione_.M.Hm3,Glutathione_.M.Hm4,Glutathione_.M.Hm5,Glutathione_.M.Hm6,Glutathione_.M.Hm7,Glutathione_.M.Hm8,Glutathione_.M.Hm9,Glutathione_.M.Hm10,Adenosine.monophosphate_.M.Hm0,Adenosine.monophosphate_.M.Hm1,Adenosine.monophosphate_.M.Hm2,Adenosine.monophosphate_.M.Hm3,Adenosine.monophosphate_.M.Hm4,Adenosine.monophosphate_.M.Hm5,Adenosine.monophosphate_.M.Hm6,Adenosine.monophosphate_.M.Hm7,Adenosine.monophosphate_.M.Hm8,Adenosine.monophosphate_.M.Hm9,Adenosine.monophosphate_.M.Hm10
91748,91747,2,9869.265625,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,533.5357666,6398.618652,880.3340454,0,0,0,3601.366699,0,491.6151123,0,0,0,12751.50586,2785.819092,298.9541321,453.5054321,0,0,1932.161743,495.4260864,430.6396179,0,0,2980.178467,0,5865.083008,795.3029785,0,834.602417,0,0,0,11993.12207,3814.781006,2724.843506,2092.222412,1688.259644,1135.669067,0,0,0,624.9990845,0,480.1822205,0,0,0,0,0,0,0,0,0,0
91749,91748,2,9919.265625,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,7335.155762,830.1382446,485.3813782,0,0,3597.265625,1056.951904,993.4440918,0,0,0,12801.36621,2141.121582,1737.393066,929.9362793,0,0,4558.956055,1202.112671,839.2107544,0,0,0,997.9804077,4640.608887,535.2803955,0,0,494.4539185,0,0,16575.54688,5570.544922,4790.305664,2349.790283,1211.185303,875.5009766,0,0,0,0,0,535.2803955,0,0,648.6872559,0,0,0,512.598999,0,0,0
91750,91749,2,9969.265625,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,11274.66211,3292.821777,735.6303711,0,0,5940.090332,0,0,0,0,0,15358.16113,5970.116211,2051.758301,1010.866272,0,0,4879.181152,1160.994873,0,0,0,3197.740234,0,5829.996094,347.1586609,0,815.6990356,0,0,640.5488892,19326.5625,7891.762695,4724.04834,2201.886963,1586.359375,1115.956299,760.6518555,0,730.6260986,0,555.4760132,820.7033081,0,0,845.7247314,0,0,0,0,0,0,0
91751,91750,2,10019.26563,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,6075.915039,1544.988647,1056.002319,0,0,5384.05127,1430.545044,1056.002319,0,0,0,16651.54297,4645.369629,2148.418457,322.2588806,0,0,4203.201172,1186.05188,0,0,0,0,0,4536.128418,1414.939087,33.93360901,0,0,0,0,19138.0918,7376.410156,5097.942383,3043.159424,1955.94519,780.2973022,0,0,0,0,0,1336.909302,0,0,0,0,0,0,0,0,0,0
91752,91751,2,10069.26563,7365.681641,0,normal,,l1normal,tracer_1,0,479.0957947,0,0,4646.195313,737.600708,0,0,0,1292.524658,0,410.1611328,0,0,0,7382.900391,1375.246216,816.8755493,403.2676697,0,0,1875.022339,754.8343506,599.7314453,0,0,2743.598877,0,1744.046509,592.8379517,0,934.0644531,0,0,0,9805.953125,4735.810059,3264.05542,1575.156616,923.7242432,0,0,0,0,427.3948059,0,0,0,361.9068909,592.8379517,0,0,0,0,0,0,0
91753,91752,2,10119.26563,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,3952.104736,1001.942017,541.9862061,0,0,1842.753052,0,0,0,0,0,5906.18457,1857.401245,708.9765015,465.815155,0,0,2361.302002,0,0,0,0,2018.532349,353.2809143,2012.672974,465.815155,0,665.0316772,310.5434265,0,0,8320.220703,4725.533691,2926.725342,324.0036926,547.84552,316.4027405,339.8399963,0,0,0,536.1268921,93.30763245,404.2923889,0,0,0,0,322.2620544,0,0,0,0
91754,91753,2,10169.26563,7365.681641,0,normal,,l1normal,tracer_1,524.4972534,847.871521,0,0,7630.84375,662.5228271,0,0,0,5083.285645,896.3083496,0,0,0,0,12126.53418,3742.465332,1608.984009,0,0,0,3123.322021,863.645874,0,0,0,0,0,4128.937012,851.8150635,0,678.2971802,599.425415,0,0,16346.17383,5860.172363,5225.254395,2389.814453,1116.035522,1017.445801,749.2817993,0,0,0,0,607.3126221,0,0,0,0,0,410.1331787,0,0,0,0
91755,91754,2,10219.26563,7365.681641,0,normal,,l1normal,tracer_1,0,851.7824707,0,0,8903.025391,1095.92395,0,0,0,6136.088867,1551.654663,0,0,0,0,19254.62305,5013.038086,1112.200073,0,0,0,4606.135742,1416.020508,1491.975708,0,0,3922.539551,0,5099.844238,683.5961304,0,927.7376099,0,0,0,22086.66406,7823.37793,5598.977539,2837.466309,1567.930786,1199.005859,254.7841492,0,0,0,0,813.8048706,591.3648682,699.8721924,602.2156372,0,0,0,0,0,0,0
91756,91755,2,10269.26563,7365.681641,0,normal,,l1normal,tracer_1,0,0,0,0,6817.691895,2291.661133,701.821228,0,0,3370.651611,2014.752197,611.1096802,525.1723633,0,0,12007.34961,2224.821045,1074.216187,0,625.4325562,0,4206.15332,1346.350952,0,0,0,0,0,4215.70166,1012.150391,0,0,0,529.9466553,0,20729.98633,6388.005859,6173.162598,3041.225342,1513.451294,1045.570435,213.6439362,0,0,506.0751953,0,1069.441895,0,0,0,0,0,0,0,0,0,0
91757,91756,2,10319.26563,7365.681641,0,normal,,l1normal,tracer_1,0,519.8143311,0,0,8684.702148,1145.281982,0,0,0,3549.951416,1086.116089,549.3972168,0,0,0,15049.25781,1441.111206,545.1710815,600.1108398,0,0,4183.871094,473.3268433,543.0335693,0,0,0,0,5523.555176,1064.985352,0,1365.040771,0,0,0,23324.02539,6165.927246,5079.811523,2785.021484,1741.166626,882.3813477,874.8094482,0,0,0,0,798.7390747,128.8621826,570.5278931,0,0,447.9700623,0,452.1961975,412.6876831,0,0
